title,year,authors,venue,doi,url,openalex_cited_by_count,s2_citation_count,relevance,abstract_source,query_hits,abstract_summary,abstract
A simple model for local-scale sensible and latent heat advection contributions to snowmelt,2019.0,"P. Harder, J. Pomeroy, W. Helgason",Hydrology and Earth System Sciences,10.5194/hess-23-1-2019,https://www.semanticscholar.org/paper/f8b2717360a2b726e8d66745bcdb4955c37f6001,,13.0,11,semanticscholar,local advection evapotranspiration | patch scale advection evapotranspiration,"- This paper proposes a simple sensible and
latent heat advection model for snowmelt situations that can be readily
coupled to one-dimensional energy balance snowmelt models.
- An existing
advection parameterization was coupled to a conceptual frozen soil
infiltration surface water retention model to estimate the areal average
sensible and latent heat advection contributions to snowmelt.
- The proposed
model compared well with observations of latent and sensible heat advection,
providing confidence in the process parameterizations and the assumptions
applied.","Abstract. Local-scale advection of energy from warm snow-free surfaces to cold
snow-covered surfaces is an important component of the energy balance during
snow-cover depletion. Unfortunately, this process is difficult to quantify in
one-dimensional snowmelt models. This paper proposes a simple sensible and
latent heat advection model for snowmelt situations that can be readily
coupled to one-dimensional energy balance snowmelt models. An existing
advection parameterization was coupled to a conceptual frozen soil
infiltration surface water retention model to estimate the areal average
sensible and latent heat advection contributions to snowmelt. The proposed
model compared well with observations of latent and sensible heat advection,
providing confidence in the process parameterizations and the assumptions
applied. Snow-covered area observations from unmanned aerial vehicle imagery
were used to update and evaluate the scaling properties of snow patch area
distribution and lengths. Model dynamics and snowmelt implications were
explored within an idealized modelling experiment, by coupling to a
one-dimensional energy balance snowmelt model. Dry, snow-free surfaces were
associated with advection of dry air that compensated for positive sensible
heat advection fluxes and so limited the net influence of advection on
snowmelt. Latent and sensible heat advection fluxes both contributed positive
fluxes to snow when snow-free surfaces were wet and enhanced net advection
contributions to snowmelt. The increased net advection fluxes from wet
surfaces typically develop towards the end of snowmelt and offset decreases
in the one-dimensional areal average melt energy that declines with
snow-covered area. The new model can be readily incorporated into existing
one-dimensional snowmelt hydrology and land surface scheme models and will
foster improvements in snowmelt understanding and predictions."
A comparison of eddy-covariance and large aperture scintillometer measurements with respect to the energy balance closure problem,2011.0,"Shaomin Liu, Ziwei Xu, W. Z. Wang, Z. Z. Jia, M. J. Zhu, Jin Bai, Jiliang Wang",Hydrology and earth system sciences,10.5194/hess-15-1291-2011,https://openalex.org/W2130797201,553.0,,10,openalex,advection irrigation evapotranspiration | local advection evapotranspiration,"- We analyzed the seasonal variations of energy balance components over three different surfaces: irrigated cropland (Yingke, YK), alpine meadow (A'rou, AR), and spruce forest (Guantan, GT).
- During the growing season, however, the latent heat flux dominated the energy budget, and an obvious ""oasis effect"" was observed at YK.
- This difference seems to be caused by the so-called energy imbalance phenomenon, the heterogeneity of the underlying surfaces, and the difference between the source areas of the LAS and EC measurements.","Abstract. We analyzed the seasonal variations of energy balance components over three different surfaces: irrigated cropland (Yingke, YK), alpine meadow (A'rou, AR), and spruce forest (Guantan, GT). The energy balance components were measured using eddy covariance (EC) systems and a large aperture scintillometer (LAS) in the Heihe River Basin, China, in 2008 and 2009. We also determined the source areas of the EC and LAS measurements with a footprint model for each site and discussed the differences between the sensible heat fluxes measured with EC and LAS at AR. The results show that the main EC source areas were within a radius of 250 m at all of the sites. The main source area for the LAS (with a path length of 2390 m) stretched along a path line approximately 2000 m long and 700 m wide. The surface characteristics in the source areas changed with the season at each site, and there were characteristic seasonal variations in the energy balance components at all of the sites. The sensible heat flux was the main term of the energy budget during the dormant season. During the growing season, however, the latent heat flux dominated the energy budget, and an obvious ""oasis effect"" was observed at YK. The sensible heat fluxes measured by LAS at AR were larger than those measured by EC at the same site. This difference seems to be caused by the so-called energy imbalance phenomenon, the heterogeneity of the underlying surfaces, and the difference between the source areas of the LAS and EC measurements."
The Seasonal Snow Cover Dynamics: Review on Wind-Driven Coupling Processes,2018.0,"Rebecca Mott, Vincent Vionnet, T. Grünewald",Frontiers in Earth Science,10.3389/feart.2018.00197,https://openalex.org/W2902522997,292.0,,10,openalex,fetch effect evaporation,"- As soon as the snow cover becomes patchy in spring local heat advection induces the development of stable internal boundary layers changing heat exchange toward the snow.
- Over continuous snow covers, turbulent fluxes of latent and sensible heat, as well as blowing snow sublimation, modify the mass, and energy balance of the snowpack and their representation in numerical models is associated with many uncertainties.
- The temporal evolution of seasonal snow cover and its spatial variability in environments such as mountains, prairies or polar regions is strongly influenced by the interactions between the atmospheric boundary layer and the snow cover.","The temporal evolution of seasonal snow cover and its spatial variability in environments such as mountains, prairies or polar regions is strongly influenced by the interactions between the atmospheric boundary layer and the snow cover. Wind-driven coupling processes affect both mass and energy fluxes at the snow surface with consequences on snow hydrology, avalanche hazard, and ecosystem development. This paper proposes a review on these processes and combines the more recent findings obtained from observations and modeling. The spatial variability of snow accumulation across multiple scales can be associated to wind-driven processes ranging from orographic precipitation at large scale to preferential-deposition of snowfall and wind-induced transport of snow on the ground at smaller scales. An overview of models of varying complexity developed to simulate these processes is proposed in this paper. Snow ablation is also affected by wind-driven processes. Over continuous snow covers, turbulent fluxes of latent and sensible heat, as well as blowing snow sublimation, modify the mass, and energy balance of the snowpack and their representation in numerical models is associated with many uncertainties. As soon as the snow cover becomes patchy in spring local heat advection induces the development of stable internal boundary layers changing heat exchange toward the snow. Overall, wind-driven processes play a key role in all the different stages of the evolution of seasonal snow. Improvements in process understanding particularly at the mountain-ridge and the slope scale, and processes representations in models at scales up to the mountain range scale, will be the basis for improved short-term forecast and climate projections in snow-covered regions."
Estimativas de evapotranspiração e as conseqüências devido aos erros na determinação de saldo de radiação e efeitos advectivos,2000.0,"G. M. D. Oliveira, Mário de Miranda, R. Leitão",,10.1590/s1415-43662000000300007,https://www.semanticscholar.org/paper/865388662f6811bd63ea0c3295297a56053e4d09,,10.0,10,semanticscholar,local advection evapotranspiration,"- It was verified that the surrounding areas of the experimental field, as well as the areas of exposed soil within the field, contributed significantly to the generation of local advection of sensible heat, which resulted in the increase of the evapotranspiration.
- The objective of this study was to analyze the consequences in the evapotranspiration estimates (ET) during the growing cycle of a peanut crop due to the errors commited in the determination of the radiation balance (Rn), as well as those caused by the advective effects.
- This research was conducted at the Experimental Station of CODEVASF in an irrigated perimeter located in the city of Rodelas, BA, during the period of September to December of 1996.","The objective of this study was to analyze the consequences in the evapotranspiration estimates (ET) during the growing cycle of a peanut crop due to the errors commited in the determination of the radiation balance (Rn), as well as those caused by the advective effects. This research was conducted at the Experimental Station of CODEVASF in an irrigated perimeter located in the city of Rodelas, BA, during the period of September to December of 1996. The results showed that errors of the order of 2.2 MJ m -2 d -1 in the calculation of Rn, and consequently in the estimate of ET, can occur depending on the time considered for the daily total of Rn. It was verified that the surrounding areas of the experimental field, as well as the areas of exposed soil within the field, contributed significantly to the generation of local advection of sensible heat, which resulted in the increase of the evapotranspiration."
Advection Fog over the Eastern Yellow Sea: WRF Simulation and Its Verification by Satellite and In Situ Observations,2021.0,"Eunjeong Lee, Jung‐Hoon Kim, K. Heo, Yang‐Ki Cho",Remote Sensing,10.3390/rs13081480,https://www.semanticscholar.org/paper/52c37b925bb790fbb67aac3dfe9781d173bdb75d,,7.0,10,semanticscholar,sensible heat advection latent heat flux,"- At night, warm air advection with continuous cooling due to longwave radiation and SHF near the surface modulated the change of the SHF from downward to upward, resulting in a drastic increase in the turbulent latent heat flux (LHF) that provided sufficient moisture at the lower atmosphere (self-moistening).
- In the simulation, longwave (infrared) radiative cooling (LRC) with a downward turbulent sensible heat flux (SHF), due to the turbulence after sunset, triggered cloud formation over the surface when warm-moist air advection occurred.
- An observed sea fog event over the Eastern Yellow Sea on 15–16 April 2012 was reproduced in the Weather Research and Forecasting (WRF) simulation with high-resolution to investigate the roles of physical processes and synoptic-scale flows on advection fog with phase transition.","An observed sea fog event over the Eastern Yellow Sea on 15–16 April 2012 was reproduced in the Weather Research and Forecasting (WRF) simulation with high-resolution to investigate the roles of physical processes and synoptic-scale flows on advection fog with phase transition. First, it was verified by a satellite-based fog detection algorithm and in situ observation data. In the simulation, longwave (infrared) radiative cooling (LRC) with a downward turbulent sensible heat flux (SHF), due to the turbulence after sunset, triggered cloud formation over the surface when warm-moist air advection occurred. At night, warm air advection with continuous cooling due to longwave radiation and SHF near the surface modulated the change of the SHF from downward to upward, resulting in a drastic increase in the turbulent latent heat flux (LHF) that provided sufficient moisture at the lower atmosphere (self-moistening). This condition represents a transition from cold-sea fog to warm-sea fog. Enhanced turbulent mixing driven by a buoyancy force increased the depth of the sea fog and the marine atmospheric boundary layer (MABL) height, even at nighttime. In addition, cold air advection with a prevailing northerly wind at the top of the MABL led to a drastic increase in turbulent mixing and the MABL height and rapid growth of the height of sea fog. After sunrise, shortwave radiative warming in the fog layers offsetting the LRC near the surface weakened thermal instability, which contributed to the reduction in the MABL height, even during the daytime. In addition, dry advection of the northerly wind induced dissipation of the fog via evaporation. An additional sensitivity test of sea surface salinity showed weaker and shallower sea fog than the control due to the decrease in both the LHF and local self-moistening. Detailed findings from the simulated fog event can help to provide better guidance for fog detection using remote sensing."
Advection and its influence on the characteristics of sensible a latent heat flux of internal boundary layer,1997.0,"S. Hayakawa, H. Tani, Haruhiko Yamamoto, T. Tsuji",,10.2480/agrmet.52.461,https://www.semanticscholar.org/paper/90b10c85624b904afc87319ac0b4d9d8b6772acb,,1.0,10,,internal boundary layer evapotranspiration advection | sensible heat advection latent heat flux,,
Warm Advection Fog over the Eastern Yellow Sea: WRF Simulation and Its Verification by Satellite and In Situ Observations,2021.0,"E. Lee, J. Kim, K. Heo, Y. Cho",,10.20944/preprints202103.0177.v1,https://www.semanticscholar.org/paper/053ab97fa076738a156357143a522b881bfb7c20,,0.0,10,semanticscholar,sensible heat advection latent heat flux,"- Initially, longwave radiative cooling (LRC) with negative sensible heat flux (SHF) due to the turbulence after sunset triggered a formation of cloud at the surface under the moist advection with a southerly wind.
- Sea fog event over the Eastern Yellow Sea on 15–16 April 2012 was reproduced in the Weather Research and Forecasting (WRF) simulation with high-resolution to investigate the roles of physical processes and synoptic-scale flows on advection fog with sea surface warming.
- At night, continuous cooling due to longwave radiation and SHF near the surface modulated the change of the SHF from negative to positive, resulting in a drastic increase in the latent heat flux (LHF) that provided sufficient moisture at lower atmosphere (self-moistening).","Sea fog event over the Eastern Yellow Sea on 15–16 April 2012 was reproduced in the Weather Research and Forecasting (WRF) simulation with high-resolution to investigate the roles of physical processes and synoptic-scale flows on advection fog with sea surface warming. Initially, longwave radiative cooling (LRC) with negative sensible heat flux (SHF) due to the turbulence after sunset triggered a formation of cloud at the surface under the moist advection with a southerly wind. This is a conventional type of advection fog. At night, continuous cooling due to longwave radiation and SHF near the surface modulated the change of the SHF from negative to positive, resulting in a drastic increase in the latent heat flux (LHF) that provided sufficient moisture at lower atmosphere (self-moistening). This is a favorable condition for advection fog with sea surface heating (ssH), and this transition represents advection fog with ssH. Enhanced turbulent mixing driven by a buoyancy force increased the depth of the sea fog with a gradual rise in the marine atmospheric boundary layer (MABL) height, even at nighttime. In addition, cold advection with a prevailing northerly wind at the top of the MABL led to a drastic increase in turbulent mixing and the MABL height, which resulted in rapid growth of the height of sea fog due to vertical diffusion. After sunrise, shortwave radiative warming in the fog layers offsetting the LRC near the surface weakened thermal instability, which contributed to the reduction in the MABL height, even during the daytime. In addition, dry advection of northerly wind induced dissipation of the fog via evaporation. An additional sensitivity test of sea surface salinity showed weaker and shallower sea fog than the control due to the decrease in both the LHF and local self-moistening."
Local‐Scale Advection of Sensible and Latent Heat During Snowmelt,2017.0,"P. Harder, J. Pomeroy, W. Helgason",,10.1002/2017gl074394,https://www.semanticscholar.org/paper/08b7b0922266737f27afc83831fc6f188f48b8a8,,42.0,9,semanticscholar,local advection evapotranspiration | patch scale advection evapotranspiration,"- Herein, results are presented from an experiment measuring near‐surface profiles of air temperature and humidity across snow‐free to snow‐covered transitions that demonstrates that latent heat advection can be the same order of magnitude as sensible heat advection and is therefore an important source of snowmelt energy.
- Airflow across these surface transitions results in local‐scale advection of energy that has been documented as sensible heat during snowmelt, while latent heat advection has received scant attention.
- Latent heat advection is conditional on an upwind source of water vapor from a wetted snow‐free surface.","The breakup of snow cover into patches during snowmelt leads to a dynamic, heterogeneous land surface composed of melting snow, and wet and dry soil and plant surfaces. Energy exchange with the atmosphere is therefore complicated by horizontal gradients in surface temperature and humidity as snow surface temperature and humidity are regulated by the phase change of melting snow unlike snow‐free areas. Airflow across these surface transitions results in local‐scale advection of energy that has been documented as sensible heat during snowmelt, while latent heat advection has received scant attention. Herein, results are presented from an experiment measuring near‐surface profiles of air temperature and humidity across snow‐free to snow‐covered transitions that demonstrates that latent heat advection can be the same order of magnitude as sensible heat advection and is therefore an important source of snowmelt energy. Latent heat advection is conditional on an upwind source of water vapor from a wetted snow‐free surface."
Effects of local advection on the spatial sensible heat flux variation on a mountain glacier,2016.0,"T. Sauter, Stephan Galos",,10.5194/tc-10-2887-2016,https://www.semanticscholar.org/paper/6c0a3ec3e7fa6b9889bc45dfd27aeadce63e035b,,54.0,8,semanticscholar,local advection evapotranspiration,"- We found by means of idealized large-eddy simulations that heat advection, associated with local wind systems, causes small-scale sensible heat flux variations by up to 100 W m−2 during clear sky conditions.
- Our results demonstrate how the shortcomings in the local sensible heat flux estimates are related to topographic effects and the insufficient characterization of the temperature advection process.
- The glacier-wide hourly averaged sensible heat fluxes are both over- and underestimated by up to 16 W m−2 when using extrapolated temperature and wind fields.","Abstract. Distributed mass balance models, which translate micrometeorological conditions into local melt rates, have proven deficient to reflect the energy flux variability on mountain glaciers. This deficiency is predominantly related to shortcomings in the representation of local processes in the forcing data. We found by means of idealized large-eddy simulations that heat advection, associated with local wind systems, causes small-scale sensible heat flux variations by up to 100 W m−2 during clear sky conditions. Here we show that process understanding at a few observation sites is insufficient to infer the wind and temperature distributions across the glacier. The glacier-wide hourly averaged sensible heat fluxes are both over- and underestimated by up to 16 W m−2 when using extrapolated temperature and wind fields. The sign and magnitude of the differences depend on the site selection, which is used for extrapolation as well as on the large-scale flow direction. Our results demonstrate how the shortcomings in the local sensible heat flux estimates are related to topographic effects and the insufficient characterization of the temperature advection process."
Sensible heat flux and local advection over a heterogeneous landscape at an Arctic tundra site during snowmelt,1997.0,"P. Marsh, J. Pomeroy, N. Neumann",Annals of Glaciology,10.3189/s0260305500013926,https://www.semanticscholar.org/paper/ff18c82aff90c3e3331d0643e6800d9d4c7bb174,,35.0,8,,sensible heat advection latent heat flux,,
